country,year,crop,yield_hg_ha
Canada,2001,"anise,_badian,_fennel,_coriander",3279.0
Canada,2002,"anise,_badian,_fennel,_coriander",5672.0
Canada,2003,"anise,_badian,_fennel,_coriander",5634.0
Canada,2004,"anise,_badian,_fennel,_coriander",7376.0
Canada,2005,"anise,_badian,_fennel,_coriander",9570.0
Canada,2006,"anise,_badian,_fennel,_coriander",7935.0
Canada,2007,"anise,_badian,_fennel,_coriander",7639.0
Canada,2008,"anise,_badian,_fennel,_coriander",7542.0
Canada,2009,"anise,_badian,_fennel,_coriander",7018.0
Canada,2010,"anise,_badian,_fennel,_coriander",7575.0
Canada,2011,"anise,_badian,_fennel,_coriander",8409.0
Canada,2012,"anise,_badian,_fennel,_coriander",8353.0
Canada,2013,"anise,_badian,_fennel,_coriander",8549.0
Canada,2014,"anise,_badian,_fennel,_coriander",8612.0
Canada,2015,"anise,_badian,_fennel,_coriander",8754.0
Canada,2016,"anise,_badian,_fennel,_coriander",8674.0
Canada,2017,"anise,_badian,_fennel,_coriander",8756.0
Canada,2018,"anise,_badian,_fennel,_coriander",8837.0
Canada,2019,"anise,_badian,_fennel,_coriander",8918.0
Canada,1961,apples,104761.0
Canada,1962,apples,104604.0
Canada,1963,apples,104720.0
Canada,1964,apples,104785.0
Canada,1965,apples,104672.0
Canada,1966,apples,104653.0
Canada,1967,apples,104610.0
Canada,1968,apples,104673.0
Canada,1969,apples,104751.0
Canada,1970,apples,102404.0
Canada,1971,apples,104725.0
Canada,1972,apples,104916.0
Canada,1973,apples,104604.0
Canada,1974,apples,104779.0
Canada,1975,apples,104788.0
Canada,1976,apples,104755.0
Canada,1977,apples,104794.0
Canada,1978,apples,104688.0
Canada,1979,apples,104669.0
Canada,1980,apples,104617.0
Canada,1981,apples,123821.0
Canada,1982,apples,123705.0
Canada,1983,apples,123750.0
Canada,1984,apples,123858.0
Canada,1985,apples,140766.0
Canada,1986,apples,155270.0
Canada,1987,apples,163350.0
Canada,1988,apples,169715.0
Canada,1989,apples,169981.0
Canada,1990,apples,164579.0
Canada,1991,apples,157117.0
Canada,1992,apples,175477.0
Canada,1993,apples,147521.0
Canada,1994,apples,166355.0
Canada,1995,apples,190922.0
Canada,1996,apples,174728.0
Canada,1997,apples,180932.0
Canada,1998,apples,193204.0
Canada,1999,apples,237490.0
Canada,2000,apples,218419.0
Canada,2001,apples,216806.0
Canada,2002,apples,174927.0
Canada,2003,apples,194310.0
Canada,2004,apples,193487.0
Canada,2005,apples,211301.0
Canada,2006,apples,202796.0
Canada,2007,apples,243757.0
Canada,2008,apples,239700.0
Canada,2009,apples,253975.0
Canada,2010,apples,228393.0
Canada,2011,apples,254084.0
Canada,2012,apples,177194.0
Canada,2013,apples,266368.0
