country,year,crop,yield_hg_ha,population,rainfall,temperature,fertilizer
Canada,1961,maize,45822.0,21434577,839.4085475420219,21.446942795315262,209.43065614302077
Canada,1962,maize,47721.0,21434577,1024.1453741534447,21.063386501106656,182.9758912915246
Canada,1963,maize,41108.0,21434577,1034.2583067913306,25.069738916611634,175.91576842195144
Canada,1964,maize,50636.0,21434577,847.6608078454736,20.14632922875015,176.02810739289228
Canada,1965,maize,50061.0,21434577,793.5532088818861,14.346879021368808,138.25246502460902
Canada,1966,maize,51615.0,21434577,648.788244736625,17.948675518662306,199.42741997785822
Canada,1967,maize,53110.0,21434577,586.555666406182,16.350785194658833,233.96946306764661
Canada,1968,maize,53209.0,21434577,709.3602659124235,22.270112818751695,147.2575544135963
Canada,1969,maize,47131.0,21434577,652.0111095854671,22.443690358839465,155.4701926773309
Canada,1970,maize,52748.0,21434577,817.625643302221,19.59744524032478,181.2491875062017
Canada,1971,maize,51625.0,21742270,641.6928097987086,29.409112738035752,189.59508325786197
Canada,1972,maize,47082.0,22049963,559.612032787938,25.290179648412757,153.37469050086935
Canada,1973,maize,52881.0,22357656,787.595447100856,14.161319504480897,150.15441853304708
Canada,1974,maize,44339.0,22665350,785.4350224564422,24.953866319981643,195.1410484356991
Canada,1975,maize,57405.0,22973043,729.1833091701167,20.795585217642845,145.64434028897716
Canada,1976,maize,53025.0,23280736,620.4280424889524,20.15744491616085,221.71366678656747
Canada,1977,maize,57729.0,23588430,811.851292122323,14.947839378549064,199.72251908184384
Canada,1978,maize,52586.0,23896123,680.685189525063,19.292311998776164,208.35028866522603
Canada,1979,maize,55386.0,24203816,935.5799140492711,25.725120476464795,164.82347430332084
Canada,1980,maize,56283.0,24511510,694.3417723467813,23.325053725614257,219.26635381367078
Canada,1981,maize,58573.0,24826079,663.7486371878479,21.25736409334473,156.80995077981916
Canada,1982,maize,58812.0,25140648,534.6828076654792,25.250103289576792,230.68720085712468
Canada,1983,maize,55177.0,25455218,737.03817811554,26.014131591568095,200.84908075142903
Canada,1984,maize,58971.0,25769787,633.8784441710776,23.445582422033656,236.1410969939791
Canada,1985,maize,62043.0,26084357,743.5513129602087,28.258574623256024,111.40764687730767
Canada,1986,maize,59484.0,26398926,897.9424507875403,22.348188272952687,181.02977948602398
Canada,1987,maize,70197.0,26713495,766.5169397763904,14.049724341596429,183.40984336487463
Canada,1988,maize,54710.0,27028065,814.2802628721143,27.911576178966065,174.45189345179057
Canada,1989,maize,63512.0,27342634,604.4711514792263,19.992971825661854,217.46206353106223
Canada,1990,maize,68602.0,27657204,809.1751997387432,19.880959184931847,205.39802299340067
Canada,1991,maize,67098.0,27959814,767.4739588826473,25.874579962131556,168.93840718367943
Canada,1992,maize,56927.0,28262425,691.0208136124018,20.431567387471368,146.09455155603644
Canada,1993,maize,64241.0,28565036,803.3016498716237,23.044221088719556,190.15340369927384
Canada,1994,maize,73748.0,28867647,707.7743159924736,16.338517031798343,177.38064031703922
Canada,1995,maize,72528.0,29170258,688.3113870251815,18.790890923113523,185.16142865001973
Canada,1996,maize,69141.0,29472869,822.7291542266169,29.54474360484212,195.23733438495518
Canada,1997,maize,68702.0,29775480,796.3590703300976,21.70221633693533,132.43686354102874
Canada,1998,maize,80054.0,30078091,745.2275024191409,22.240920839764104,250.0
Canada,1999,maize,79747.0,30380702,715.3750263393979,23.20618936933445,188.9586469088427
Canada,2000,maize,62844.0,30683313,539.6379532284842,26.571291258060082,212.55799098060322
Canada,2001,maize,66187.0,31011322,892.3857504677485,18.362450180821043,232.08382932808297
Canada,2002,maize,70128.0,31339332,497.66680869738946,24.34742837520108,250.0
Canada,2003,maize,78193.0,31667342,571.7034614764761,19.734809081588914,192.98954095262923
Canada,2004,maize,82410.0,31995352,659.3743822590841,15.79734627573547,192.0568892441808
Canada,2005,maize,86035.0,32323362,558.7853315293012,23.894369722540727,162.4172729729859
Canada,2006,maize,84737.0,32651372,1028.9881929031571,18.86698683065505,180.33815451382972
Canada,2007,maize,85108.0,32979382,896.4330991265406,17.07654273426418,196.82379803812387
Canada,2008,maize,90623.0,33307392,985.285695770837,15.57006706175509,195.53901575596913
Canada,2009,maize,83723.0,33635402,796.7789029647163,25.12729148710924,152.89147867365756
Canada,2010,maize,97509.0,33963412,512.3178096448303,24.08776626246759,198.90954019699558
Canada,2011,maize,89312.0,34317154,795.0887130622577,23.385792837987903,169.59925835264528
Canada,2012,maize,91579.0,34670897,791.8056654889806,23.172289893194726,168.56945745920896
Canada,2013,maize,95451.0,35024640,1085.8394120060561,23.89533168364715,154.26089508392056
Canada,2014,maize,92940.0,35378383,868.1796495540893,18.101273319090716,213.61253811227357
Canada,2015,maize,102055.0,35732126,958.5472042213328,18.717270726593156,218.90128387732966
Canada,2016,maize,98260.0,34710872,824.3005668485697,25.28824063997796,246.9037894796184
Canada,2017,maize,100238.0,33689619,705.8301391194833,18.985055342570043,163.3145671112343
Canada,2018,maize,97049.0,32668365,603.1541487062211,21.691593162343583,200.2345592444993
Canada,2019,maize,92364.0,31647112,799.8043438794034,25.308732996144094,190.3900567563372
Canada,1961,wheat,7529.0,30625858,724.424089258878,16.941372667048174,218.00422916474048
Canada,1962,wheat,14183.0,29604605,625.0800817318008,14.571369774334869,123.22768754847219
Canada,1963,wheat,17651.0,28583351,607.8966898291823,17.106148858696596,167.85001235230231
Canada,1964,wheat,13604.0,27562098,606.7885149488254,17.708684349372508,128.8301570482899
Canada,1965,wheat,15432.0,26540844,368.21833303769625,16.213940191731915,171.4099698580868
